timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1528106662.131091,0.090056,0.536826,0.396686,0.751217,0.028702,0.044431,0.077284,-0.511411,-0.855854,-0.037016,0.026273,0.054950,22.080757,-24.067001,-18.030029,,,,,,,
1528106662.151141,0.090942,0.547407,0.392164,0.400525,-0.106844,-0.247391,0.077546,-0.520475,-0.850348,0.023528,0.029508,-0.016626,22.131062,-24.370018,-17.622406,,,,,,,
1528106662.171221,0.092854,0.549474,0.383429,-0.025962,-0.225742,-0.418032,0.079072,-0.522239,-0.849125,-0.022126,0.011527,-0.084316,22.197128,-24.541088,-17.343536,,,,,,,
1528106662.191303,0.091289,0.544108,0.373862,-0.329125,-0.338334,-0.416979,0.077997,-0.517655,-0.852026,0.018408,-0.005508,-0.014932,22.363060,-24.569975,-17.481903,,,,,,,
1528106662.211352,0.089123,0.536592,0.366200,-0.314622,-0.261019,-0.332897,0.076496,-0.511210,-0.856045,0.029339,-0.104864,0.064144,22.359413,-23.920383,-17.703125,,,,,,,
1528106662.231433,0.087818,0.532097,0.361245,-0.133809,-0.199626,-0.150567,0.075579,-0.507342,-0.858424,0.036756,-0.137663,0.070277,22.457302,-23.767155,-18.150421,,,,,,,
1528106662.251513,0.083227,0.529745,0.360815,-0.138459,-0.236063,-0.024539,0.071736,-0.505313,-0.859949,0.024913,-0.062482,0.019907,22.618599,-23.839680,-18.155762,,,,,,,
1528106662.271564,0.079412,0.524416,0.358998,-0.328641,-0.242842,-0.174572,0.068668,-0.500707,-0.862888,0.010373,0.004415,0.008640,22.155968,-23.820995,-18.401245,,,,,,,
1528106662.291645,0.076865,0.515649,0.352717,-0.470522,-0.314680,-0.372541,0.066805,-0.493100,-0.867404,0.021849,0.008099,-0.013501,22.193752,-23.519691,-18.782532,,,,,,,
1528106662.311724,0.075574,0.505897,0.343603,-0.462059,-0.284634,-0.458960,0.066045,-0.484592,-0.872243,0.002254,0.016376,0.005818,22.195721,-23.180647,-18.998688,,,,,,,
1528106662.331774,0.074129,0.497293,0.333566,-0.370280,-0.335434,-0.473113,0.065091,-0.477048,-0.876463,-0.004269,0.017407,0.028395,22.340061,-23.090666,-19.568390,,,,,,,
1528106662.351856,0.071398,0.490572,0.324260,-0.274204,-0.369026,-0.414343,0.062924,-0.471131,-0.879816,-0.007108,0.028260,0.030634,22.610462,-22.482252,-20.207123,,,,,,,
1528106662.371937,0.068572,0.485226,0.315952,-0.219409,-0.290364,-0.373644,0.060609,-0.466408,-0.882490,-0.019929,0.044838,-0.022524,22.399639,-21.737461,-20.453644,,,,,,,
1528106662.391986,0.068331,0.480416,0.308759,-0.249133,-0.125474,-0.316368,0.060549,-0.462148,-0.884733,-0.000292,0.027486,0.040571,22.566166,-21.768663,-20.733673,,,,,,,
1528106662.412066,0.070354,0.474305,0.302851,-0.301830,-0.024003,-0.277916,0.062536,-0.456720,-0.887409,0.026041,0.039988,0.048496,22.670513,-21.434017,-20.796478,,,,,,,
1528106662.432148,0.071675,0.467985,0.297148,-0.272585,-0.105255,-0.257678,0.063914,-0.451089,-0.890187,0.032506,0.048638,0.006444,22.677872,-21.123158,-21.009735,,,,,,,
1528106662.452198,0.070231,0.464065,0.293191,-0.128263,-0.177083,-0.174990,0.062752,-0.447587,-0.892036,0.016518,0.040803,-0.001076,22.677830,-21.020632,-21.218903,,,,,,,
1528106662.472277,0.068664,0.461736,0.289612,-0.109253,-0.145857,-0.166025,0.061426,-0.445503,-0.893171,0.013602,0.034202,-0.007327,22.754387,-21.020008,-21.327454,,,,,,,
1528106662.492358,0.068064,0.459039,0.286459,-0.128289,-0.067732,-0.144418,0.060970,-0.443087,-0.894403,0.005695,0.016634,-0.015906,22.698109,-20.514318,-21.323486,,,,,,,
1528106662.512408,0.068356,0.455979,0.283754,-0.147956,-0.047501,-0.128491,0.061325,-0.440342,-0.895733,0.016343,0.011494,-0.005420,22.800983,-20.771761,-21.513245,,,,,,,
1528106662.532490,0.068245,0.452759,0.281394,-0.151209,-0.075390,-0.112631,0.061322,-0.437448,-0.897150,0.015003,0.002221,-0.001623,22.823841,-20.440115,-21.545685,,,,,,,
1528106662.552569,0.066770,0.449506,0.279311,-0.147595,-0.155758,-0.103401,0.060092,-0.434521,-0.898654,0.008404,-0.008442,-0.006848,22.795033,-20.405657,-21.586731,,,,,,,
1528106662.572619,0.062130,0.448187,0.277174,0.034470,-0.380641,-0.121706,0.055957,-0.433333,-0.899495,0.006955,-0.000368,-0.049907,22.547287,-20.501421,-21.773071,,,,,,,
1528106662.592700,0.055234,0.450631,0.274979,0.162803,-0.406500,-0.069994,0.049695,-0.435534,-0.898799,0.002338,0.001879,-0.003727,22.327389,-20.309433,-21.819611,,,,,,,
1528106662.612794,0.048699,0.453729,0.274108,0.128226,-0.339192,-0.004756,0.043754,-0.438320,-0.897753,0.001946,0.008785,0.011095,22.201668,-20.354342,-22.114380,,,,,,,
1528106662.632844,0.043111,0.455447,0.274744,0.058242,-0.239986,0.043107,0.038704,-0.439864,-0.897230,0.013175,0.007079,0.009611,22.130692,-20.510994,-22.144897,,,,,,,
1528106662.652925,0.037957,0.455898,0.275533,0.024113,-0.255242,0.032977,0.034072,-0.440269,-0.897219,0.016801,0.017906,-0.016767,21.810463,-20.461802,-22.254822,,,,,,,
1528106662.673005,0.032145,0.457600,0.276537,0.126052,-0.280230,0.050126,0.028833,-0.441796,-0.896652,0.014090,0.022882,-0.011628,21.746330,-20.488468,-22.209900,,,,,,,
1528106662.693056,0.025639,0.460812,0.277781,0.165853,-0.314244,0.061122,0.022962,-0.444675,-0.895397,0.006427,0.008152,0.009182,21.541363,-20.328741,-22.413727,,,,,,,
1528106662.713136,0.018948,0.463395,0.278803,0.098519,-0.306161,0.033596,0.016949,-0.446988,-0.894379,0.014347,-0.008639,0.013184,21.371952,-20.537457,-22.482727,,,,,,,
1528106662.733217,0.014361,0.464220,0.279167,0.012147,-0.163150,0.000165,0.012841,-0.447725,-0.894079,-0.023431,-0.003096,0.006200,21.066990,-20.591908,-22.625824,,,,,,,
1528106662.753267,0.012569,0.463301,0.278893,-0.061140,-0.080070,-0.019526,0.011244,-0.446903,-0.894511,-0.017454,-0.003445,0.010341,21.317875,-20.482122,-22.591919,,,,,,,
1528106662.773347,0.011588,0.462492,0.278251,-0.009495,-0.053979,-0.040160,0.010371,-0.446179,-0.894883,-0.028208,0.008496,0.008271,21.253235,-20.548767,-22.956909,,,,,,,
1528106662.793428,0.010512,0.463439,0.277315,0.071442,-0.108069,-0.044831,0.009403,-0.447027,-0.894471,-0.018634,0.022466,0.012711,21.218044,-20.562241,-22.756531,,,,,,,
1528106662.813478,0.008002,0.465344,0.277033,0.098935,-0.143229,0.004538,0.007151,-0.448730,-0.893638,-0.018046,0.021102,0.022972,21.161968,-20.754808,-22.724030,,,,,,,
1528106662.833558,0.004735,0.467070,0.277322,0.072351,-0.198088,0.011403,0.004228,-0.450272,-0.892881,-0.009401,0.012574,0.011640,21.103611,-20.777962,-22.790253,,,,,,,
1528106662.853639,-0.001760,0.466275,0.277796,-0.061260,-0.273018,0.001877,-0.001572,-0.449562,-0.893247,-0.055435,0.069420,-0.003969,20.868397,-20.717413,-22.987335,,,,,,,
1528106662.873689,-0.003599,0.466497,0.277923,0.087241,0.042132,-0.012770,-0.003215,-0.449760,-0.893143,0.013591,-0.032158,0.062378,20.872540,-20.727892,-22.980103,,,,,,,
1528106662.893770,-0.003036,0.468219,0.277957,0.044334,-0.035347,0.021598,-0.002709,-0.451297,-0.892369,-0.002387,0.013782,0.014211,20.712036,-20.682932,-22.895447,,,,,,,
1528106662.913820,-0.004194,0.468471,0.278117,-0.001061,-0.062488,-0.024052,-0.003742,-0.451522,-0.892252,0.026279,-0.011719,0.029352,20.653198,-20.664045,-22.719879,,,,,,,
1528106662.933900,-0.003692,0.467772,0.277096,-0.026471,0.074537,-0.036443,-0.003295,-0.450898,-0.892569,-0.006608,0.017839,-0.011209,20.640167,-20.486111,-22.898041,,,,,,,
1528106662.953981,-0.000097,0.467415,0.277212,-0.038639,0.189168,0.016486,-0.000087,-0.450580,-0.892736,0.008433,0.011203,-0.006755,20.655144,-20.846886,-22.910614,,,,,,,
1528106662.974031,-0.000704,0.467467,0.277050,0.059006,-0.185338,-0.041129,-0.000629,-0.450626,-0.892712,0.041415,-0.014874,-0.017414,20.847351,-20.738268,-23.004425,,,,,,,
1528106662.994111,-0.006747,0.470205,0.276321,0.160683,-0.353970,-0.016217,-0.006014,-0.453069,-0.891455,0.030795,0.013113,-0.021769,20.900414,-20.537428,-23.212341,,,,,,,
1528106663.014192,-0.011468,0.472990,0.277310,0.107295,-0.107766,0.086173,-0.010209,-0.455550,-0.890151,0.001862,0.010451,-0.020890,20.713982,-20.743313,-23.097565,,,,,,,
1528106663.034242,-0.013319,0.474453,0.279891,0.087171,-0.012500,0.100370,-0.011847,-0.456852,-0.889464,-0.020898,-0.001904,-0.021059,20.576244,-20.729261,-23.088379,,,,,,,
1528106663.054323,-0.015371,0.476873,0.281437,0.141277,-0.128975,0.043658,-0.013656,-0.459003,-0.888329,-0.005143,-0.010571,0.000924,20.411297,-20.566513,-23.226196,,,,,,,
1528106663.074403,-0.017264,0.479355,0.281992,0.073003,-0.034060,0.045497,-0.015318,-0.461207,-0.887160,0.020246,0.020213,0.038573,20.329597,-20.760212,-23.167358,,,,,,,
1528106663.094453,-0.018506,0.478404,0.285316,-0.086172,0.045242,0.189559,-0.016427,-0.460363,-0.887578,-0.024802,0.041952,0.006292,20.307899,-20.776115,-23.085815,,,,,,,
1528106663.114534,-0.019016,0.477173,0.289294,-0.013373,0.028595,0.132557,-0.016890,-0.459270,-0.888136,-0.047090,0.050426,0.005888,20.291283,-21.045486,-23.131531,,,,,,,
1528106663.134614,-0.020931,0.477695,0.289658,0.017025,-0.120258,-0.064822,-0.018586,-0.459733,-0.887862,-0.007964,0.049287,0.018661,20.228092,-20.990223,-23.212372,,,,,,,
1528106663.154664,-0.019876,0.476171,0.286274,-0.138286,0.073681,-0.187634,-0.017664,-0.458380,-0.888580,0.003244,0.076345,0.046173,20.223354,-21.062792,-23.126495,,,,,,,
1528106663.174745,-0.013354,0.472266,0.281596,-0.195876,0.228695,-0.211018,-0.011892,-0.454905,-0.890460,-0.001307,0.066066,0.063723,20.352829,-20.899776,-23.212463,,,,,,,
1528106663.194826,-0.005698,0.472253,0.277589,0.150780,0.295527,-0.149725,-0.005075,-0.454894,-0.890531,0.010339,-0.012620,0.019376,20.570389,-20.864597,-23.081818,,,,,,,
1528106663.214876,-0.001641,0.476947,0.275908,0.220345,0.102038,-0.038651,-0.001458,-0.459069,-0.888399,-0.025275,-0.017829,0.001955,20.664330,-20.724308,-22.972473,,,,,,,
1528106663.234956,0.001294,0.479190,0.275830,0.039623,0.228319,0.006949,0.001148,-0.461061,-0.887367,-0.019321,0.006822,0.020302,20.940968,-20.989285,-22.885620,,,,,,,
1528106663.255037,0.009543,0.477727,0.276589,-0.109667,0.502753,0.039839,0.008475,-0.459762,-0.888001,-0.049582,0.038787,0.009141,20.924599,-20.643356,-22.742554,,,,,,,
1528106663.275087,0.018143,0.475007,0.276989,-0.154059,0.355553,-0.023588,0.016133,-0.457344,-0.889143,-0.030141,0.103279,-0.023516,21.168877,-20.562719,-22.509308,,,,,,,
1528106663.295167,0.023339,0.471736,0.273761,-0.151809,0.096080,-0.231553,0.020788,-0.454433,-0.890538,0.019663,0.084515,0.008808,21.580086,-20.557457,-22.260712,,,,,,,
1528106663.315248,0.027643,0.469281,0.267333,-0.100329,0.099639,-0.310107,0.024652,-0.452245,-0.891552,0.003898,0.045660,0.058087,21.513348,-20.434389,-22.210571,,,,,,,
1528106663.335298,0.034451,0.467277,0.260704,-0.075783,0.246683,-0.288660,0.030752,-0.450457,-0.892268,0.017725,-0.006468,0.047374,21.944466,-20.409672,-22.252625,,,,,,,
1528106663.355379,0.041735,0.465439,0.255150,-0.084651,0.209114,-0.249377,0.037285,-0.448815,-0.892846,0.038963,-0.073920,0.005959,21.817978,-20.009586,-22.112274,,,,,,,
1528106663.375459,0.048265,0.463224,0.248990,-0.087058,0.168347,-0.291371,0.043162,-0.446834,-0.893574,0.052724,-0.141178,0.003209,21.975521,-19.732130,-22.148407,,,,,,,
